,speciesID,scientificname,family,order,class,subdivision,data,raw.points,extent.xmin,extent.xmax,extent.ymin,extent.ymax,lon_hist,lat_hist,Centrl,rng_size,tmax_wt,tmax_sp,tmax_sm,tmax_at,tmin_wt,tmin_sp,tmin_sm,tmin_at,tave_wt,tave_sp,tave_sm,tave_at,ppt_wt,ppt_sp,ppt_sm,ppt_at,dd_0_wt,dd_0_sp,dd_0_sm,dd_0_at,dd5_wt,dd5_sp,dd5_sm,dd5_at,nffd_wt,nffd_sp,nffd_sm,nffd_at,pas_wt,pas_sp,pas_sm,pas_at,eref_wt,eref_sp,eref_sm,eref_at,cmd_wt,cmd_sp,cmd_sm,cmd_at,mat,mwmt,mcmt,td,map,ahm,dd_0,dd5,nffd,pas,emt,ext,eref,cmd
572,39963,Salix acutifolia,Salicaceae,Malpighiales,Magnoliopsida,Spermatophytina,Maxent prediction,309,19.4999992,87.49999893,40.49999948,70.49999936,27.24999917,70.24999936,55.49999942,29.99999988,-5.9,0.6,12.2,2.7,-15.3,-7.8,4.6,-3.7,-106,-36,84,-5,87,81,176,124,954,442,2,263,3,21,336,56,0,0,87,2,84,65,10,85,0,38,164,17,0,9,13,0,-1.6,9.9,-11.1,21,467,18.1,1662,416,89,244,-39.8,23.6,219,22
1179,23260,Hieracium coloratum,Asteraceae,Asterales,Magnoliopsida,Spermatophytina,Native region,50,19.4999992,66.49999901,57.99999941,70.49999936,27.24999917,70.24999936,64.24999939,12.49999995,-5.9,0.6,12.2,2.7,-15.3,-7.8,4.6,-3.7,-106,-36,84,-5,87,81,176,124,954,442,2,263,3,21,336,56,0,0,87,2,84,65,10,85,0,38,164,17,0,9,13,0,-1.6,9.9,-11.1,21,467,18.1,1662,416,89,244,-39.8,23.6,219,22
66,41668,Silybum marianum,Asteraceae,Asterales,Magnoliopsida,Spermatophytina,Maxent prediction,12997,-31.5000006,89.99999892,2.999999626,69.99999936,30.24999916,69.74999936,36.49999949,66.99999973,-3.6,1.9,12.2,4.2,-10.1,-4.2,6.5,-0.6,-68,-11,94,18,108,76,171,139,655,280,1,156,8,38,412,98,1,1,92,29,92,53,6,64,0,37,149,20,0,9,7,0,0.8,10.8,-7.3,18.2,494,21.9,1093,556,123,215,-34,22.9,206,16
109,36715,Populus nigra,Salicaceae,Malpighiales,Magnoliopsida,Spermatophytina,Maxent prediction,34616,-13.50000067,109.4999988,8.499999604,69.99999936,30.24999916,69.74999936,39.24999948,61.49999976,-3.6,1.9,12.2,4.2,-10.1,-4.2,6.5,-0.6,-68,-11,94,18,108,76,171,139,655,280,1,156,8,38,412,98,1,1,92,29,92,53,6,64,0,37,149,20,0,9,7,0,0.8,10.8,-7.3,18.2,494,21.9,1093,556,123,215,-34,22.9,206,16
133,8656,Centaurium erythraea,Gentianaceae,Gentianales,Magnoliopsida,Spermatophytina,Maxent prediction,24220,-31.5000006,89.99999892,12.49999959,69.99999936,30.24999916,69.74999936,41.24999948,57.49999977,-3.6,1.9,12.2,4.2,-10.1,-4.2,6.5,-0.6,-68,-11,94,18,108,76,171,139,655,280,1,156,8,38,412,98,1,1,92,29,92,53,6,64,0,37,149,20,0,9,7,0,0.8,10.8,-7.3,18.2,494,21.9,1093,556,123,215,-34,22.9,206,16
272,18964,Euonymus verrucosus,Celastraceae,Celastrales,Magnoliopsida,Spermatophytina,Maxent prediction,2387,5.499999256,147.4999987,24.99999954,69.99999936,30.24999916,69.74999936,47.49999945,44.99999982,-3.6,1.9,12.2,4.2,-10.1,-4.2,6.5,-0.6,-68,-11,94,18,108,76,171,139,655,280,1,156,8,38,412,98,1,1,92,29,92,53,6,64,0,37,149,20,0,9,7,0,0.8,10.8,-7.3,18.2,494,21.9,1093,556,123,215,-34,22.9,206,16
679,40619,Schivereckia podolica,Brassicaceae,Brassicales,Magnoliopsida,Spermatophytina,Maxent prediction,29,19.9999992,66.49999901,43.49999946,69.99999936,30.24999916,69.74999936,56.74999941,26.4999999,-3.6,1.9,12.2,4.2,-10.1,-4.2,6.5,-0.6,-68,-11,94,18,108,76,171,139,655,280,1,156,8,38,412,98,1,1,92,29,92,53,6,64,0,37,149,20,0,9,7,0,0.8,10.8,-7.3,18.2,494,21.9,1093,556,123,215,-34,22.9,206,16
692,4190,Astragalus arenarius,Fabaceae,Fabales,Magnoliopsida,Spermatophytina,Maxent prediction,157,5.499999256,66.49999901,43.99999946,69.99999936,30.24999916,69.74999936,56.99999941,25.9999999,-3.6,1.9,12.2,4.2,-10.1,-4.2,6.5,-0.6,-68,-11,94,18,108,76,171,139,655,280,1,156,8,38,412,98,1,1,92,29,92,53,6,64,0,37,149,20,0,9,7,0,0.8,10.8,-7.3,18.2,494,21.9,1093,556,123,215,-34,22.9,206,16
10,42118,Solanum purpureilineatum,Solanaceae,Solanales,Magnoliopsida,Spermatophytina,Maxent prediction,1851,-31.5000006,122.9999988,-27.00000025,69.49999936,20.2499992,69.24999936,21.24999956,96.49999961,-10.1,-2,10.5,-1.1,-17.4,-9.5,2.8,-6.8,-137,-57,67,-39,156,110,204,159,1242,601,5,457,1,11,216,22,0,0,64,0,154,96,24,142,0,0,156,15,0,0,3,0,-4.2,8.1,-14.5,22.6,628,9.2,2305,250,65,417,-42.3,21.8,171,3
100,41087,Senecio alboranicus,Asteraceae,Asterales,Magnoliopsida,Spermatophytina,Maxent prediction,249,-13.50000067,24.49999918,6.99999961,69.49999936,20.2499992,69.24999936,38.24999949,62.49999975,-10.1,-2,10.5,-1.1,-17.4,-9.5,2.8,-6.8,-137,-57,67,-39,156,110,204,159,1242,601,5,457,1,11,216,22,0,0,64,0,154,96,24,142,0,0,156,15,0,0,3,0,-4.2,8.1,-14.5,22.6,628,9.2,2305,250,65,417,-42.3,21.8,171,3
