"","speciesID","scientificname","family","order","class","subdivision","data","raw.points","extent.xmin","extent.xmax","extent.ymin","extent.ymax","lon_hist","lat_hist","Centrl","rng_size","tmax_wt","tmax_sp","tmax_sm","tmax_at","tmin_wt","tmin_sp","tmin_sm","tmin_at","tave_wt","tave_sp","tave_sm","tave_at","ppt_wt","ppt_sp","ppt_sm","ppt_at","dd_0_wt","dd_0_sp","dd_0_sm","dd_0_at","dd5_wt","dd5_sp","dd5_sm","dd5_at","nffd_wt","nffd_sp","nffd_sm","nffd_at","pas_wt","pas_sp","pas_sm","pas_at","eref_wt","eref_sp","eref_sm","eref_at","cmd_wt","cmd_sp","cmd_sm","cmd_at","mat","mwmt","mcmt","td","map","ahm","dd_0","dd5","nffd","pas","emt","ext","eref","cmd"
"6",13635,"Daucus pusillus","Apiaceae","Apiales","Magnoliopsida","Spermatophytina","Maxent prediction",844,-139.5000002,-29.5000006,-56.00000014,60.4999994,-139.2500002,60.2499994,2.24999963,116.4999995,-10.9,1.4,12.3,0,-18.4,-8.9,3.8,-8.1,-147,-38,81,-40,2024,1580,1437,3032,1329,461,3,493,0,18,308,28,0,6,78,10,2016,1386,140,2335,0,51,190,28,0,0,0,0,-3.6,9.3,-16.8,26.1,8073,0.8,2287,353,93,5876,-46.6,25.6,269,0
"7",16163,"Eclipta prostrata","Asteraceae","Asterales","Magnoliopsida","Spermatophytina","Native region",50,-124.5000002,-29.5000006,-56.00000014,56.99999941,-89.75000036,56.74999941,0.499999635,112.9999996,-19,-2,16.6,1.9,-28.9,-13.4,7,-5,-239,-77,118,-16,55,74,189,145,2152,795,1,397,0,16,635,84,0,0,92,19,55,58,3,86,0,54,241,33,0,23,52,0,-5.4,13.9,-26.3,40.2,463,10,3345,735,111,202,-49.7,32.5,328,75
"10",42118,"Solanum purpureilineatum","Solanaceae","Solanales","Magnoliopsida","Spermatophytina","Maxent prediction",1851,-31.5000006,122.9999988,-27.00000025,69.49999936,20.2499992,69.24999936,21.24999956,96.49999961,-10.1,-2,10.5,-1.1,-17.4,-9.5,2.8,-6.8,-137,-57,67,-39,156,110,204,159,1242,601,5,457,1,11,216,22,0,0,64,0,154,96,24,142,0,0,156,15,0,0,3,0,-4.2,8.1,-14.5,22.6,628,9.2,2305,250,65,417,-42.3,21.8,171,3
"11",25619,"Kyllinga pluristaminea","Cyperaceae","Poales","Liliopsida","Spermatophytina","Maxent prediction",1809,-178.5,178.9999986,-42.00000019,53.99999942,123.2499988,53.74999942,5.999999615,95.99999961,-18.6,6.2,23.6,3,-33.7,-10.3,9.2,-10.9,-262,-20,164,-40,14,65,274,83,2358,499,0,649,0,126,1050,122,0,1,92,2,14,28,0,32,0,96,355,55,0,60,82,1,-3.9,18.3,-28.2,46.5,436,13.9,3507,1298,95,74,-54,38.5,506,143
"12",41978,"Solanum etuberosum","Solanaceae","Solanales","Magnoliopsida","Spermatophytina","Maxent prediction",9,-74.00000043,87.49999893,-40.0000002,55.49999942,68.24999901,55.24999942,7.74999961,95.49999962,-12.2,7,23,5.7,-20.6,-3.5,11.8,-2.8,-164,17,174,15,50,64,165,88,1479,306,0,280,1,242,1142,204,0,30,92,30,50,20,0,43,0,138,318,67,0,87,153,16,1,19.2,-18,37.2,367,30.1,2065,1589,152,112,-42.9,35.1,523,256
"15",40804,"Scleria muehlenbergii","Cyperaceae","Poales","Liliopsida","Spermatophytina","Maxent prediction",86,-117.5000003,-45.50000054,-41.5000002,45.49999946,-74.75000042,45.24999946,1.99999963,86.99999966,-3.5,10.9,24.9,13,-13.8,-0.4,12.9,3,-87,53,189,80,185,198,270,249,799,122,0,42,5,316,1280,423,0,32,92,43,174,40,0,10,0,175,385,136,0,38,115,0,5.9,20.3,-10.2,30.5,903,17.6,963,2023,167,224,-36.8,36.8,696,153
"18",15731,"Duranta erecta","Verbenaceae","Lamiales","Magnoliopsida","Spermatophytina","Maxent prediction",4995,-124.5000002,-32.00000059,-41.5000002,42.49999947,-123.7500002,42.24999947,0.499999635,83.99999967,8.3,14.4,26.6,17.7,-0.1,2,9.5,5.6,41,82,180,116,942,427,57,522,71,19,0,9,92,346,1202,632,43,61,91,78,51,15,0,14,73,248,461,185,0,45,404,54,10.5,19.3,3.3,15.9,1949,10.5,99,2272,273,80,-18.8,39.4,967,503
"20",14471,"Diodia incana","Rubiaceae","Gentianales","Magnoliopsida","Spermatophytina","Maxent prediction",1571,-124.5000002,-29.5000006,-34.00000023,48.49999944,-89.25000037,48.24999945,7.249999605,82.49999967,-6.7,7.7,21.6,9.8,-17.8,-4,9,0.4,-122,18,153,51,113,167,257,211,1108,218,0,111,2,153,949,276,0,11,92,33,112,65,1,36,0,145,343,95,0,21,86,0,2.5,16.8,-14.2,31,748,16.7,1438,1380,136,214,-40.9,34.6,583,107
"21",8614,"Cenchrus tribuloides","Poaceae","Poales","Liliopsida","Spermatophytina","Maxent prediction",24,-94.50000034,-29.5000006,-34.00000023,47.49999945,-69.75000044,47.24999945,6.74999961,81.49999968,-6.1,7.6,22.3,9.8,-17.2,-4.4,9.8,0.1,-116,16,161,49,206,225,304,276,1047,233,0,101,2,155,1021,257,0,11,92,31,203,105,1,55,0,148,354,98,0,9,53,0,2.7,17.4,-13.3,30.7,1010,12.6,1381,1435,134,363,-40.3,34.4,600,62
"22",494,"Acaciella angustissima","Fabaceae","Fabales","Magnoliopsida","Spermatophytina","Maxent prediction",662,-117.5000003,-59.50000048,-38.00000021,43.49999946,-104.2500003,43.24999947,2.749999625,81.49999967,2.6,14.7,29.9,17.3,-11.8,-0.7,12.2,0,-46,70,211,86,29,134,148,66,486,59,0,46,16,374,1479,482,1,41,92,44,21,11,0,4,0,261,502,193,0,127,354,127,8,23.1,-5.9,29,377,47.8,591,2351,179,35,-38.1,41.6,956,608
