,extent.ymax_group,tmax_wt,tmax_sp,tmax_sm,tmax_at,tmin_wt,tmin_sp,tmin_sm,tmin_at,tave_wt,tave_sp,tave_sm,tave_at,ppt_wt,ppt_sp,ppt_sm,ppt_at,dd_0_wt,dd_0_sp,dd_0_sm,dd_0_at,dd5_wt,dd5_sp,dd5_sm,dd5_at,nffd_wt,nffd_sp,nffd_sm,nffd_at,pas_wt,pas_sp,pas_sm,pas_at,eref_wt,eref_sp,eref_sm,eref_at,cmd_wt,cmd_sp,cmd_sm,cmd_at,mat,mwmt,mcmt,td,map,ahm,dd_0,dd5,nffd,pas,emt,ext,eref,cmd,rng_size,extent.ymax,variance
1,3,28.5,29,26.5,27.4,19.3,19.1,18.5,18.7,239,241,225,231,183,585,232,712,0,0,0,0,1693,1742,1605,1636,90,92,92,91,0,0,0,0,447,494,407,444,264,0,176,0,23.4,22.2,23.6,-1.4,1711,19.5,0,6676,365,0,8.8,28.4,1792,440,1.999999992,2.499999628,19.6
2,4,30,30,27.7,28.1,21,21.3,20.8,21,255,256,242,246,164,598,877,749,0,0,0,0,1836,1880,1767,1770,90,92,92,91,0,0,0,0,450,480,393,408,286,30,0,0,25,24.1,25.3,-1.2,2388,14.7,0,7254,365,0,11.9,29.5,1731,316,5.499999978,3.999999622,17.6
3,5,28.9,27.7,24.8,26.6,16.6,17,15.3,15.7,228,223,200,212,40,219,305,152,0,0,0,0,1591,1584,1383,1466,90,92,92,91,0,0,0,0,488,490,419,465,449,271,114,313,21.6,19.8,21.8,-2,715,44.2,1,6024,365,0,3.2,27,1862,1147,6.749999973,4.49999962,23.8
4,6,29.5,29.9,30.9,32.2,22.2,22.7,22.4,22.5,258,263,267,274,601,701,652,249,0,0,0,0,1867,1936,1990,2024,90,92,92,91,0,0,0,0,391,437,466,499,0,0,48,250,26.5,27.1,25.7,1.4,2203,16.6,0,7817,365,0,14.8,33,1793,298,3.999999984,5.999999614,18.2
5,7,30.275,31.775,30.825,30.6,21.425,22.3,22.4,22.275,258,270.5,266,264.5,293,451.5,482,649.75,0,0,0,0,1865.25,2005,1982.75,1938,90,92,92,91,0,0,0,0,424.75,507.75,464.25,446.75,168.75,118.75,20.25,68.5,26.5,26.65,25.575,1.075,1877.25,19.5,0,7791.75,365,0,13.1,33.075,1843.5,376.25,8.999999964,6.874999611,19.975
6,8,29.7,31.2,31.2,30.5,22.7,23.4,23.2,22.9,262,273,272,267,896,356,369,589,0,0,0,0,1898,2030,2040,1961,90,92,92,91,0,0,0,0,381,465,460,426,0,109,91,18,26.9,27.1,26.1,1.1,2210,16.7,0,7929,365,0,15.5,33.5,1732,218,12.99999995,7.499999608,18
7,9,31.03333333,31.8,29.96666667,31.33333333,19.33333333,21.43333333,21.33333333,21.2,251.6666667,266.3333333,256.6666667,262.3333333,493,543.3333333,974.6666667,690.6666667,0,0,0,0,1807,1966.666667,1898.333333,1922,90,92,92,91,0,0,0,0,450.6666667,515.6666667,456,474,176.3333333,92.66666667,0,6.333333333,25.9,25.83333333,24.73333333,1.1,2701.666667,13.36666667,0,7594.666667,365,0,9,32.1,1896.333333,275.3333333,9.166666629,8.999999602,23.1
8,10,30.56363636,32.32727273,29.82727273,29.83636364,22.26363636,23.90909091,23.72727273,23.01818182,263.9090909,281.0909091,267.6363636,264.0909091,304.1818182,363.5454545,827.7272727,804.5454545,0,0,0,0,1913.727273,2102.727273,1998.181818,1936.363636,90,92,92,91,0,0,0,0,388.2727273,481.1818182,393.2727273,384.7272727,190.6363636,204,52.54545455,29.36363636,26.90909091,26.67272727,26.1,0.554545455,2300,17.31818182,0,7951.363636,365,0,14.48181818,31.94545455,1647.454545,476.5454545,9.954545416,9.818181417,17.46363637
9,11,34.6,36.1,31.1,32.6,16.7,23.3,21.5,20.2,256,297,263,264,7,148,637,265,0,0,0,0,1845,2244,1955,1938,90,92,92,91,0,0,0,0,557,618,493,511,550,470,40,263,27,26,24.5,1.5,1058,35,0,7982,365,0,2.3,32.7,2179,1323,12.83333328,10.99999959,30.4
10,12,32.88,35.15333333,31.75333333,32.35333333,17.88,22.14666667,22.14666667,20.22666667,253.4666667,286.6,269.3333333,263,79.13333333,124.2,520.0666667,359.9333333,0,0,0,0,1819.6,2151.133333,2012.866667,1924.4,89.8,92,92,91,0,0,0,0,496.1333333,603.1333333,499.4,497.9333333,427.4,478.9333333,113.4666667,256.2666667,26.80666667,26.74666667,24.7,2.08,1083.333333,198.0933333,0,7908,364.8,0,5.813333333,33.64,2096.6,1276.066667,11.09999995,11.56666626,27.82666667
11,13,32.5037037,35.81481481,32.54814815,32.85925926,18.59259259,23.17037037,23.6962963,22.23703704,255.3703704,294.8518519,281,275.6296296,27.03703704,38.44444444,420.5185185,278.5185185,0,0,0,0,1836.888889,2226.925926,2120.62963,2038.851852,90,92,92,91,0,0,0,0,465.1111111,599.8148148,492.8888889,471.4814815,438.0740741,561.1481481,203.6296296,253.7037037,27.7037037,27.92962963,24.90740741,3.07037037,764.6666667,94.52592593,0,8223.222222,365,0,7.192592593,34.46296296,2029.296296,1456.555556,12.1481481,12.83333292,27.27037037
12,14,31.54615385,36.15,32.64230769,33.32692308,17.79230769,23.42307692,23.96538462,21.85,246.5769231,297.9615385,283.1153846,275.9615385,40.07692308,118.7692308,648.1538462,313.3076923,0,0,0,0,1760.461538,2253.461538,2137.961538,2042.884615,90,92,92,91,0,0,0,0,441.6538462,600.3076923,484.1923077,475.5769231,402.9230769,541.5769231,171.1153846,324.4230769,27.61923077,28.13076923,23.90384615,4.226923077,1120.038462,71.18846154,0,8195.307692,364.7307692,0,6.011538462,34.87692308,2001.730769,1440.038462,16.7692307,13.8653842,28.86538462
13,15,32.03636364,35.15454545,30.98181818,31.63636364,16.13636364,20.00909091,19.85454545,18.40909091,240.8181818,275.8181818,254,250.4545455,6.363636364,155.0909091,770.9090909,316.1818182,0,0,0,0,1704.727273,2054.636364,1872.181818,1810.363636,90,92,92,91,0,0,0,0,466.6363636,622.8181818,515.7272727,479.0909091,460.2727273,492.2727273,71.45454545,282.7272727,25.49090909,25.06363636,23.41818182,1.590909091,1248.727273,39.53636364,0.181818182,7441.909091,365,0,2.6,32.37272727,2084.272727,1306.727273,15.45454539,14.90909049,29.77272727
14,16,29.16875,32.15,31.61875,31.575,20.0625,22.9125,24.21875,23.125,246.4375,275.6875,279.1875,273.5,247.75,199.375,556.25,554.5625,0,0,0,0,1757.25,2051.3125,2104.25,2018.9375,90,92,92,91,0,0,0,0,344.8125,485.4375,445.8125,400.8125,167.3125,302.25,117.0625,124.75,26.84375,27.88125,24.11875,3.6875,1557.9375,48.1125,0,7931.75,365,0,10.6375,34.44375,1676.875,711.375,15.40624994,15.65624958,23.80625
