,extent.ymax_group,tmax_wt,tmax_sp,tmax_sm,tmax_at,tmin_wt,tmin_sp,tmin_sm,tmin_at,tave_wt,tave_sp,tave_sm,tave_at,ppt_wt,ppt_sp,ppt_sm,ppt_at,dd_0_wt,dd_0_sp,dd_0_sm,dd_0_at,dd5_wt,dd5_sp,dd5_sm,dd5_at,nffd_wt,nffd_sp,nffd_sm,nffd_at,pas_wt,pas_sp,pas_sm,pas_at,eref_wt,eref_sp,eref_sm,eref_at,cmd_wt,cmd_sp,cmd_sm,cmd_at,mat,mwmt,mcmt,td,map,ahm,dd_0,dd5,nffd,pas,emt,ext,eref,cmd,rng_size,extent.ymin,season_var
1,-56.5,12,8.6,4.3,8.5,4,1.4,-1.5,0.9,80,50,14,47,247,285,237,209,25,36,64,32,300,143,45,143,55,14,0,6,1,39,144,44,386,127,43,256,139,0,0,66,4.8,1.5,7.7,-6.2,978,15.1,157,631,76,228,-17.8,12.1,812,205,49.33333314,-56.00000014,6.6
2,-56,11.6,7.6,2.7,7.6,2.3,-0.7,-3.9,-1.1,69,34,-6,32,138,138,105,94,33,70,148,56,227,92,24,93,26,2,0,1,1,34,84,29,399,131,0,257,261,30,0,163,3.2,-0.6,7,-7.6,476,27.8,307,437,29,147,-20.2,10.8,787,454,55.4230767,-55.50000014,7.5
3,-53,13.3,10,5.3,9.6,4.9,2.5,-0.7,1.4,91,62,23,55,156,145,115,95,19,23,42,24,390,214,59,181,74,36,0,13,0,14,58,16,411,151,55,281,255,38,0,186,5.8,2.4,8.6,-6.2,511,30.9,107,843,122,88,-16.6,13.2,898,479,1.49999999,-52.50000015,6.8
4,-45,17.3,15.2,11.1,13.1,11.6,9.5,5.6,7.8,144,123,84,105,182,257,282,182,4,2,2,3,847,685,320,516,90,91,87,88,0,2,22,5,403,195,101,280,221,11,0,99,11.4,8.4,13.6,-5.2,902,23.7,11,2367,356,29,10.8,29.3,979,331,0.99999999,-44.50000018,6
5,-44.5,17.1,13.7,9,12.5,8.5,6.8,3.5,5.2,128,102,62,89,336,437,545,496,7,5,5,6,707,510,188,398,87,91,92,87,0,9,79,21,467,208,98,317,130,0,0,0,9.5,6.3,11.8,-5.5,1815,10.8,22,1803,357,109,-11,15.3,1090,130,20.49999992,-44.00000019,6.6
6,-42.5,21.9,18.3,13,16.8,12.5,9.7,5.4,8.4,172,140,92,126,207,277,356,249,2,1,1,1,1101,835,385,702,90,92,92,91,0,1,14,2,559,269,138,387,352,51,0,138,13.2,9.4,16.2,-6.8,1089,21.3,6,3023,364,17,-4.4,17.4,1353,541,10.49999995,-42.00000019,8
7,-42,27.1,20.1,12.7,20.2,13.4,8.5,2.5,7.1,203,143,76,137,80,115,67,89,1,1,3,1,1360,861,267,794,90,91,88,90,0,1,6,1,734,325,155,508,654,210,88,419,13.9,8.2,19.4,-11.2,351,68.2,5,3282,360,7,-3.3,17.4,1722,1371,56.39189167,-41.5000002,12.7
8,-41,17.1,15.2,11.7,13,11.3,10.4,7.1,8,142,128,94,105,641,804,895,799,5,2,1,3,834,730,405,520,89,92,92,91,0,4,33,13,398,196,111,280,0,0,0,0,11.7,9.2,13.4,-4.2,3139,6.9,10,2490,364,50,-6.3,15.9,985,0,3.49999999,-40.5000002,4.8
9,-40.5,20.9,15.2,8.4,14.5,5.9,3.1,1.1,2.3,134,92,47,84,206,562,946,390,6,7,11,8,760,415,123,361,82,46,18,26,0,30,233,32,628,284,119,408,422,54,0,106,8.9,4.9,12.5,-7.7,2104,9,31,1660,172,295,-14.9,15.2,1439,582,17.33333326,-40.0000002,8.7
10,-39,22.8,19.3,13.6,17.6,11.9,9.7,6,8.4,174,145,98,130,115,185,267,208,2,1,1,1,1116,885,440,740,89,92,92,91,0,1,8,1,598,307,156,416,482,138,0,208,13.7,10.1,16.3,-6.1,774,30.6,5,3181,364,10,-5.5,18.2,1477,828,40.07142841,-38.50000021,7.6
